Title;Price;Location;Specifications;Link;Image
Mercedes-Benz W211 E270 CDI Avantgarde;264 924 грн.;Коростень - 28 жовтня 2025 р.;2002  467 тис.км.;https://www.olx.ua/d/uk/obyavlenie/mercedes-benz-w211-e270-cdi-avantgarde-IDZeu2T.html;"https://ireland.apollo.olxcdn.com:443/v1/files/n82cf8ydnkft2-UA/image;s=216x152;q=50"
Ford Scorpio 2.8 можно зробити Дрифт корч задній привід;14 700 грн.;Київ, Оболонський - 29 жовтня 2025 р.;1985  200 тис.км.;https://www.olx.ua/d/uk/obyavlenie/ford-scorpio-2-8-mozhno-zrobiti-drift-korch-zadny-privd-IDZ40Lh.html;"https://ireland.apollo.olxcdn.com:443/v1/files/h17pdw7pe5kb-UA/image;s=216x152;q=50"
Продам Рено Твінго (Renault twingo) 1.2 газ /бенз;54 667 грн.;Хмельницький - 29 жовтня 2025 р.;1998  250 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-reno-tvngo-renault-twingo-1-2-gaz-benz-IDYb3Jc.html;"https://ireland.apollo.olxcdn.com:443/v1/files/8am7253dr8uk-UA/image;s=216x152;q=50"
Продам volkswagen кадик. На полном ходу;82 000 грн.Договірна;Самар - Сьогодні о 10:49;2003  230 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-volkswagen-kadik-na-polnom-hodu-IDZ32Zk.html;"https://ireland.apollo.olxcdn.com:443/v1/files/xexhwm9ffrry-UA/image;s=216x152;q=50"
Авто Renault Modus;180 821 грн.;Київ, Шевченківський - Сьогодні о 09:38;2008  235 тис.км.;https://www.olx.ua/d/uk/obyavlenie/avto-renault-modus-IDZ3KS0.html;"https://ireland.apollo.olxcdn.com:443/v1/files/a3l69z8xi2kv3-UA/image;s=216x152;q=50"
Ford Focus 2.0 (або ОБМІН);378 421 грн.Договірна;Ужгород - Сьогодні о 10:38;2017  142 тис.км.;https://www.olx.ua/d/uk/obyavlenie/ford-focus-2-0-abo-obmn-IDYRoK6.html;/app/static/media/no_thumbnail.15f456ec5.svg
Свіжопригнаний Ford Galaxy3. 2007 не розмитнений в Києві;168 206 грн.;Київ, Дарницький - Сьогодні о 09:50;2007  280 тис.км.;https://www.olx.ua/d/uk/obyavlenie/svzhoprignaniy-ford-galaxy3-2007-ne-rozmitneniy-v-kiv-IDYPo76.html;/app/static/media/no_thumbnail.15f456ec5.svg
Свіжопригнана Опель Зафіра Б 2006 не розмитнена;151 385 грн.;Київ, Дарницький - Сьогодні о 09:49;2006  280 тис.км.;https://www.olx.ua/d/uk/obyavlenie/svzhoprignana-opel-zafra-b-2006-ne-rozmitnena-IDYUXI9.html;/app/static/media/no_thumbnail.15f456ec5.svg
Citroen C3 1.4 Бензин Автомат!;290 155 грн.;Кривий Ріг, Покровський - Сьогодні о 05:20;2013  128 тис.км.;https://www.olx.ua/d/uk/obyavlenie/citroen-c3-1-4-benzin-avtomat-IDYX5Dm.html;/app/static/media/no_thumbnail.15f456ec5.svg
Golf 4 1.6 Универсал Отл.сост;155 548 грн.;Запоріжжя, Заводський - Сьогодні о 08:22;1999  345 тис.км.;https://www.olx.ua/d/uk/obyavlenie/golf-4-1-6-universal-otl-sost-IDZ3JNI.html;/app/static/media/no_thumbnail.15f456ec5.svg
Супер Стан‼️VW Touran 2006рік 7місць в Києві не розмитнений;151 385 грн.;Київ, Дарницький - Сьогодні о 09:48;2006  280 тис.км.;https://www.olx.ua/d/uk/obyavlenie/super-stanvw-touran-2006rk-7msts-v-kiv-ne-rozmitneniy-IDYWtqT.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продам авто Лада Калина газ/бензин;58 872 грн.;Берестин - Сьогодні о 08:14;2007  180 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-avto-lada-kalina-gaz-benzin-IDYPEsK.html;/app/static/media/no_thumbnail.15f456ec5.svg
Фиат Добло 1.3 Mjet;220 770 грн.Договірна;Калинівка - Сьогодні о 10:25;2013  275 тис.км.;https://www.olx.ua/d/uk/obyavlenie/fiat-doblo-1-3-mjet-IDYRlRa.html;/app/static/media/no_thumbnail.15f456ec5.svg
Запах & стан нового авто! VOLKSWAGEN Golf GTI 8. 18240 км.;1 400 271 грн.Договірна;Київ, Дніпровський - 24 жовтня 2025 р.;2021  18 тис.км.;https://www.olx.ua/d/uk/obyavlenie/zapah-stan-novogo-avto-volkswagen-golf-gti-8-18240-km-IDYIaQq.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продаж автомобіля;273 334 грн.Договірна;Гнівань - 27 жовтня 2025 р.;2001  330 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodazh-avtomoblya-IDZe0Zj.html;/app/static/media/no_thumbnail.15f456ec5.svg
BMW 330E 2016.;323 796 грн.;Усатове - 26 жовтня 2025 р.;2016  120 тис.км.;https://www.olx.ua/d/uk/obyavlenie/bmw-330e-2016-IDZdH6a.html;/app/static/media/no_thumbnail.15f456ec5.svg
Шкода октавія дізель механіка;107 231 грн.;Краматорськ - Сьогодні о 06:11;2007  280 тис.км.;https://www.olx.ua/d/uk/obyavlenie/shkoda-oktavya-dzel-mehanka-IDYT3cA.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продам ваз 2101;90 411 грн.;Гребінки - 29 жовтня 2025 р.;1974  30 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-vaz-2101-IDZ5FAy.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продам машину Субару у дуже гарному стані . Терміново !!!;328 001 грн.;Чернівці - Сьогодні о 06:00;2008  240 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-mashinu-subaru-u-duzhe-garnomu-stan-termnovo-IDYRyz4.html;/app/static/media/no_thumbnail.15f456ec5.svg
Авто Ford Sierra MK1;36 000 грн.Договірна;Слов'янськ - Сьогодні о 09:39;1984  40 тис.км.;https://www.olx.ua/d/uk/obyavlenie/avto-ford-sierra-mk1-IDYSw2R.html;/app/static/media/no_thumbnail.15f456ec5.svg
Додж калибр механика;168 206 грн.;Київ, Дарницький - Сьогодні о 10:10;2007  330 тис.км.;https://www.olx.ua/d/uk/obyavlenie/dodzh-kalibr-mehanika-IDZ532n.html;/app/static/media/no_thumbnail.15f456ec5.svg
КРАСИВАЯ И УХОЖЕННАЯ Nissan-Maxima -Автомат;231 283 грн.;Дніпро, Новокодацький - Сьогодні о 06:44;2004  250 тис.км.;https://www.olx.ua/d/uk/obyavlenie/krasivaya-i-uhozhennaya-nissan-maxima-avtomat-IDZ3rft.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продам Land Cruiser 100;643 387 грн.Договірна;Кривий Ріг, Саксаганський - Сьогодні о 06:20;2006  343 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-land-cruiser-100-IDZ5GrM.html;/app/static/media/no_thumbnail.15f456ec5.svg
Subaru Forester 4Х4 2.0 ГБО/4 Автомат‼️;231 241 грн.Договірна;Кривий Ріг, Саксаганський - Сьогодні о 10:35;2006  257 тис.км.;https://www.olx.ua/d/uk/obyavlenie/subaru-forester-4h4-2-0-gbo-4-avtomat-IDZ7bcB.html;/app/static/media/no_thumbnail.15f456ec5.svg
Hyundai Tucson 2.0 RCDI продаж/обмін авто;168 206 грн.Договірна;Рівне - Сьогодні о 08:57;2006  369 тис.км.;https://www.olx.ua/d/uk/obyavlenie/hyundai-tucson-2-0-rcdi-prodazh-obmn-avto-IDZ5xkS.html;/app/static/media/no_thumbnail.15f456ec5.svg
Volvo XC90, 2004 рік,2,9 газ/бензин,4х4;273 334 грн.;Київ, Солом'янський - Сьогодні о 08:12;2004  290 тис.км.;https://www.olx.ua/d/uk/obyavlenie/volvo-xc90-2004-rk-2-9-gaz-benzin-4h4-IDYS22m.html;/app/static/media/no_thumbnail.15f456ec5.svg
Ford Focus 2.0 (або ОБМІН);378 421 грн.Договірна;Ужгород - Сьогодні о 10:38;2017  142 тис.км.;https://www.olx.ua/d/uk/obyavlenie/ford-focus-2-0-abo-obmn-IDYRoK6.html;/app/static/media/no_thumbnail.15f456ec5.svg
Honda Civic 2008р Автомат;185 026 грн.;Київ, Подільський - 28 жовтня 2025 р.;2008  218 тис.км.;https://www.olx.ua/d/uk/obyavlenie/honda-civic-2008r-avtomat-IDZd3qf.html;/app/static/media/no_thumbnail.15f456ec5.svg
Бмв е 39 2,5 газ bmw 5 e 39 2000р;147 138 грн.;Кременчук - 29 жовтня 2025 р.;2000  350 тис.км.;https://www.olx.ua/d/uk/obyavlenie/bmv-e-39-2-5-gaz-bmw-5-e-39-2000r-IDZf7Le.html;/app/static/media/no_thumbnail.15f456ec5.svg
Skoda Fabia 2003 1.2 газ/бензин;111 436 грн.Договірна;Костопіль - 29 жовтня 2025 р.;2003  262 тис.км.;https://www.olx.ua/d/uk/obyavlenie/skoda-fabia-2003-1-2-gaz-benzin-IDZ5the.html;/app/static/media/no_thumbnail.15f456ec5.svg
Mitsubishi Pajero Wagon 4. 3.0 г/б;483 591 грн.;Харків, Слобідський - Сьогодні о 07:09;2007  241 тис.км.;https://www.olx.ua/d/uk/obyavlenie/mitsubishi-pajero-wagon-4-3-0-g-b-IDZ3tWc.html;/app/static/media/no_thumbnail.15f456ec5.svg
HYUNDAI Sonata 2.0 ГАЗ/Бензин;210 215 грн.;Ніжин - Сьогодні о 05:56;2006  400 тис.км.;https://www.olx.ua/d/uk/obyavlenie/hyundai-sonata-2-0-gaz-benzin-IDYSwXw.html;/app/static/media/no_thumbnail.15f456ec5.svg
ВАЗ 2112 робоче авто;32 800 грн.Договірна;Іршава - Сьогодні о 10:12;2004  159 тис.км.;https://www.olx.ua/d/uk/obyavlenie/vaz-2112-roboche-avto-IDYX8c8.html;/app/static/media/no_thumbnail.15f456ec5.svg
‼️Опель ЗафіраБ АВТОМАТ‼️2007р 1.9тді не розмитнена;159 795 грн.;Київ, Дарницький - Сьогодні о 09:46;2007  267 тис.км.;https://www.olx.ua/d/uk/obyavlenie/opel-zafrab-avtomat2007r-1-9td-ne-rozmitnena-IDYZcyL.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продам авто ВАЗ 2115 в хорошому стані;71 487 грн.Договірна;Батурин - Сьогодні о 10:09;2001  222 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-avto-vaz-2115-v-horoshomu-stan-IDYYnRY.html;/app/static/media/no_thumbnail.15f456ec5.svg
Айди а6 автомат турбобензин;252 309 грн.;Київ, Дарницький - 29 жовтня 2025 р.;2006  330 тис.км.;https://www.olx.ua/d/uk/obyavlenie/aydi-a6-avtomat-turbobenzin-IDZ4R1p.html;/app/static/media/no_thumbnail.15f456ec5.svg
‼️Обмін‼️Додж МАГНУМ‼️Газ-Бензин‼️;327 034 грн.Договірна;Київ, Печерський - Сьогодні о 08:58;2005  187 тис.км.;https://www.olx.ua/d/uk/obyavlenie/obmndodzh-magnumgaz-benzin-IDYPptd.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продам гарний Опель;191 334 грн.;Олександрія - Сьогодні о 05:25;2006  220 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-garniy-opel-IDZ4fhS.html;/app/static/media/no_thumbnail.15f456ec5.svg
уаз 469 тюнінг для покатух для бездоріжя обмін;126 154 грн.Договірна;Пирятин - Сьогодні о 10:45;1975  1 000 тис.км.;https://www.olx.ua/d/uk/obyavlenie/uaz-469-tyunng-dlya-pokatuh-dlya-bezdorzhya-obmn-IDZ6LhN.html;/app/static/media/no_thumbnail.15f456ec5.svg
Mercedes ML270  w163 2001 рік 2,7дизель АКПП повний привід 4х4;126 154 грн.;Харків, Київський - 21 жовтня 2025 р.;2001  267 тис.км.;https://www.olx.ua/d/uk/obyavlenie/mercedes-ml270-w163-2001-rk-2-7dizel-akpp-povniy-privd-4h4-IDZ8Q1x.html;/app/static/media/no_thumbnail.15f456ec5.svg
Нива ваз 21214 2012р;105 129 грн.Договірна;Комишуваха - 29 жовтня 2025 р.;2012  300 тис.км.;https://www.olx.ua/d/uk/obyavlenie/niva-vaz-21214-2012r-IDZf6gj.html;/app/static/media/no_thumbnail.15f456ec5.svg
VW Passat B 3 в чудовому стані;113 539 грн.;Київ, Дарницький - 28 жовтня 2025 р.;1989  385 тис.км.;https://www.olx.ua/d/uk/obyavlenie/vw-passat-b-3-v-chudovomu-stan-IDXCAzp.html;/app/static/media/no_thumbnail.15f456ec5.svg
Газ 3110-31105 Волга 2007 рік;121 949 грн.Договірна;Березань - Сьогодні о 05:19;2007  78 тис.км.;https://www.olx.ua/d/uk/obyavlenie/gaz-3110-31105-volga-2007-rk-IDZ4igs.html;/app/static/media/no_thumbnail.15f456ec5.svg
• ПАДЖЕРО-ВАГОН/Автомат/4х4/Раздатка - За 5.999$ •;214 462 грн.;Кам'янське - Сьогодні о 08:39;2003  220 тис.км.;https://www.olx.ua/d/uk/obyavlenie/padzhero-vagon-avtomat-4h4-razdatka-za-5-999-IDZ7Cp8.html;/app/static/media/no_thumbnail.15f456ec5.svg
Фольксваген Пассат В5+;121 949 грн.Договірна;Миколаїв, Iнгульський - Сьогодні о 10:28;2004  283 тис.км.;https://www.olx.ua/d/uk/obyavlenie/folksvagen-passat-v5-IDZ6nre.html;/app/static/media/no_thumbnail.15f456ec5.svg
Авто Джили ЛС крос;126 154 грн.;Кривий Ріг, Центрально-Міський - 29 жовтня 2025 р.;2012  129 тис.км.;https://www.olx.ua/d/uk/obyavlenie/avto-dzhili-ls-kros-IDYTi07.html;/app/static/media/no_thumbnail.15f456ec5.svg
Шкода А5 2008 1.6 MPI Газ/Бензин;277 539 грн.Договірна;Кривий Ріг, Покровський - 29 жовтня 2025 р.;2008  192 тис.км.;https://www.olx.ua/d/uk/obyavlenie/shkoda-a5-2008-1-6-mpi-gaz-benzin-IDYSNnR.html;/app/static/media/no_thumbnail.15f456ec5.svg
Ауди а6 кватро автомат;246 001 грн.;Київ, Дарницький - Сьогодні о 10:38;2007  250 тис.км.;https://www.olx.ua/d/uk/obyavlenie/audi-a6-kvatro-avtomat-IDYZcFw.html;/app/static/media/no_thumbnail.15f456ec5.svg
Мерседес Спрінтер 319;1 782 132 грн.;Суховерхів - Сьогодні о 04:42;2020  230 тис.км.;https://www.olx.ua/d/uk/obyavlenie/mersedes-sprnter-319-IDYCdM5.html;/app/static/media/no_thumbnail.15f456ec5.svg
Hyundai Getz Avtomat;231 283 грн.;Київ, Дніпровський - Сьогодні о 09:33;2006  200 тис.км.;https://www.olx.ua/d/uk/obyavlenie/hyundai-getz-avtomat-IDZ4B3P.html;/app/static/media/no_thumbnail.15f456ec5.svg
Honda Legend KB1 3.5 газ-бензин повний привід Акпп 2006 рік;277 539 грн.;Київ, Оболонський - Сьогодні о 09:44;2006  298 тис.км.;https://www.olx.ua/d/uk/obyavlenie/honda-legend-kb1-3-5-gaz-benzin-povniy-privd-akpp-2006-rk-IDZ3aYg.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продам Skoda Fabia II 1.4 MPI;258 616 грн.Договірна;Кривий Ріг, Саксаганський - Сьогодні о 07:09;2010  191 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-skoda-fabia-ii-1-4-mpi-IDZ6f0g.html;/app/static/media/no_thumbnail.15f456ec5.svg
